char,skill,dmg_type,profession,rarity,dps@0,dps@150,dps@300,dps@650,dps@1100,dps@2000,dps@4000,dps@8000,peak_dps,peak_def
晓歌,浮光,physical,PIONEER,4,1179,1007,835,434,59,59,59,59,1179,0
谜图,疑点追踪,arts,PIONEER,4,125,125,125,125,125,125,125,125,125,0
寻澜,探寻,physical,PIONEER,4,789,690,591,361,66,39,39,39,789,0
诗怀雅,协同作战,physical,WARRIOR,4,1425,1285,1145,818,398,71,71,71,1425,0
鞭刃,鞭刃,physical,WARRIOR,4,447,390,332,197,24,22,22,22,447,0
苍苔,土石的恒心,physical,WARRIOR,4,834,741,648,430,150,42,42,42,834,0
芙兰卡,迅捷打击·γ型,physical,WARRIOR,4,962,872,782,572,302,48,48,48,962,0
芙兰卡,极致锋度,physical,WARRIOR,4,1106,1031,956,781,556,106,55,55,1106,0
摩根,街头好手,physical,WARRIOR,4,807,747,687,547,367,40,40,40,807,0
摩根,无畏招架,physical,WARRIOR,4,303,280,258,205,138,15,15,15,303,0
Sharp,亮剑,physical,WARRIOR,4,1321,1261,1201,1061,881,521,66,66,1321,0
莱欧斯,威吓战法,physical,WARRIOR,4,290,280,271,249,221,165,40,14,290,0
因陀罗,裂魂,physical,WARRIOR,4,922,826,730,506,218,46,46,46,922,0
燧石,锋芒毕露,physical,WARRIOR,4,1360,1165,970,515,68,68,68,68,1360,0
达格达,精准捕杀,physical,WARRIOR,4,568,473,378,156,28,28,28,28,568,0
拉普兰德,狼魂,physical,WARRIOR,4,1408,1288,1168,888,528,70,70,70,1408,0
断崖,浮游刃启动,arts,WARRIOR,4,282,282,282,282,282,282,282,282,282,0
烈夏,迅捷打击·γ型,physical,WARRIOR,4,1027,890,754,436,51,51,51,51,1027,0
烈夏,一呼百应,physical,WARRIOR,4,1222,1113,1003,748,419,61,61,61,1222,0
铎铃,攻击力强化·γ型,physical,WARRIOR,4,1141,1101,1061,967,847,607,74,57,1141,0
铎铃,乡心无改,physical,WARRIOR,4,738,723,708,673,628,538,338,37,738,0
战车,倾泻弹药,physical,WARRIOR,4,2864,2564,2264,1564,664,143,143,143,2864,0
幽灵鲨,攻击力强化·γ型,physical,WARRIOR,4,961,878,794,600,350,48,48,48,961,0
幽灵鲨,肉斩骨断,physical,WARRIOR,4,1349,1259,1169,959,689,149,67,67,1349,0
布洛卡,通电,physical,WARRIOR,4,783,720,658,512,324,39,39,39,783,0
布洛卡,高压电流,physical,WARRIOR,4,984,935,886,772,626,334,49,49,984,0
导火索,火力侦察,physical,WARRIOR,4,1415,1234,1054,633,92,71,71,71,1415,0
导火索,霰射炸药,physical,WARRIOR,4,958,925,892,815,716,517,76,48,958,0
摆渡人,同胞的意志,physical,WARRIOR,4,973,890,807,612,362,49,49,49,973,0
星极,星座守护,physical,WARRIOR,4,549,474,399,224,27,27,27,27,549,0
星极,星辉剑,physical,WARRIOR,4,632,560,488,320,104,32,32,32,632,0
铸铁,破浪回神,physical,WARRIOR,4,804,717,630,427,166,40,40,40,804,0
赤冬,信影流·雷刀之势,physical,WARRIOR,4,532,479,425,300,139,27,27,27,532,0
赤冬,信影流·十文字胜,physical,WARRIOR,4,55,50,45,34,19,3,3,3,55,0
羽毛笔,收割,physical,WARRIOR,4,1267,1130,993,673,262,63,63,63,1267,0
海沫,泡影，殆尽,physical,WARRIOR,4,757,657,557,324,38,38,38,38,757,0
龙舌兰,当机立断,physical,WARRIOR,4,401,307,213,20,20,20,20,20,401,0
龙舌兰,剑走偏锋,physical,WARRIOR,4,452,374,296,113,23,23,23,23,452,0
奥达,锻锤之力,physical,WARRIOR,4,978,933,887,781,645,372,49,49,978,0
聆音,开颅挽歌,physical,WARRIOR,4,908,824,741,546,296,124,124,124,908,0
聆音,破膛弥撒,physical,WARRIOR,4,165,155,145,122,92,32,8,8,165,0
祐天寺若麦,如焰般热烈,physical,WARRIOR,4,1195,1115,1035,849,609,129,60,60,1195,0
祐天寺若麦,如麦般生长,physical,WARRIOR,4,948,867,786,596,353,47,47,47,948,0
哈蒂娅,剑角之锋,physical,WARRIOR,4,785,708,630,450,217,39,39,39,785,0
雷狼龙S空爆,超高输出属性解放斩,mixed,WARRIOR,4,293,255,218,130,18,15,15,15,293,0
蓝毒,毒液散射,physical,SNIPER,4,1408,1188,968,455,70,70,70,70,1408,0
白金,攻击力强化·γ型,physical,SNIPER,4,827,727,627,393,93,41,41,41,827,0
白金,天马视域,physical,SNIPER,4,25,22,19,12,3,1,1,1,25,0
灰喉,飞羽,physical,SNIPER,4,652,540,427,165,33,33,33,33,652,0
灰喉,回流,physical,SNIPER,4,956,791,626,241,48,48,48,48,956,0
四月,灵活伪装,physical,SNIPER,4,508,448,388,248,68,25,25,25,508,0
寒芒克洛丝,无痕,physical,SNIPER,4,851,701,551,201,43,43,43,43,851,0
隐现,“不惹麻烦”,physical,SNIPER,4,1460,1310,1160,810,360,73,73,73,1460,0
隐现,“解决麻烦”,physical,SNIPER,4,1294,1161,1028,718,319,65,65,65,1294,0
陨星,高爆弹头,physical,SNIPER,4,162,157,152,141,126,96,29,8,162,0
慑砂,攻击力强化·γ型,physical,SNIPER,4,435,401,368,290,190,22,22,22,435,0
慑砂,延时震荡零件,physical,SNIPER,4,469,439,409,339,249,69,23,23,469,0
截云,探前路,physical,SNIPER,4,558,518,478,385,265,28,28,28,558,0
截云,掷旧尘,physical,SNIPER,4,1569,1419,1269,919,469,78,78,78,1569,0
送葬人,铳口收束,physical,SNIPER,4,388,347,306,211,88,19,19,19,388,0
奥斯塔,迅捷打击·γ型,physical,SNIPER,4,467,407,347,207,27,23,23,23,467,0
奥斯塔,影钉,physical,SNIPER,4,219,195,171,115,43,11,11,11,219,0
吉星,欢迎您来！,physical,SNIPER,4,278,238,199,107,14,14,14,14,278,0
吉星,吉星高照！,physical,SNIPER,4,357,322,287,205,99,18,18,18,357,0
天空盒,源石火药驾临,physical,SNIPER,4,369,350,332,288,232,119,18,18,369,0
天空盒,电磁脉冲恩宠,physical,SNIPER,4,908,851,793,658,485,139,45,45,908,0
阿米娅,精神爆发,arts,CASTER,4,337,337,337,337,337,337,337,337,337,0
阿米娅,奇美拉,true,CASTER,4,290,290,290,290,290,290,290,290,290,0
苦艾,执法模式,arts,CASTER,4,16,16,16,16,16,16,16,16,16,0
苦艾,终结连射,arts,CASTER,4,751,751,751,751,751,751,751,751,751,0
特米米,嘉维尔保护方案,arts,CASTER,4,543,543,543,543,543,543,543,543,543,0
天火,攻击力强化·γ型,arts,CASTER,4,336,336,336,336,336,336,336,336,336,0
天火,天坠之火,arts,CASTER,4,307,307,307,307,307,307,307,307,307,0
Pith,“为我所为”,arts,CASTER,4,313,313,313,313,313,313,313,313,313,0
惊蛰,攻击力强化·γ型,arts,CASTER,4,363,363,363,363,363,363,363,363,363,0
惊蛰,初雷,arts,CASTER,4,362,362,362,362,362,362,362,362,362,0
星源,双端导流,arts,CASTER,4,111,111,111,111,111,111,111,111,111,0
星源,星束交汇,arts,CASTER,4,213,213,213,213,213,213,213,213,213,0
蜜蜡,沙暴扩散,arts,CASTER,4,373,373,373,373,373,373,373,373,373,0
蜜蜡,守卫尖碑,arts,CASTER,4,700,700,700,700,700,700,700,700,700,0
莱恩哈特,攻击力强化·γ型,arts,CASTER,4,348,348,348,348,348,348,348,348,348,0
莱恩哈特,解构与爆破,arts,CASTER,4,113,113,113,113,113,113,113,113,113,0
寒檀,迅捷打击·γ型,arts,CASTER,4,400,400,400,400,400,400,400,400,400,0
寒檀,“女巫之泪”,arts,CASTER,4,689,689,689,689,689,689,689,689,689,0
复奏,合奏起拍,arts,CASTER,4,228,228,228,228,228,228,228,228,228,0
复奏,直到终曲,arts,CASTER,4,114,114,114,114,114,114,114,114,114,0
薄绿,风语,arts,CASTER,4,344,344,344,344,344,344,344,344,344,0
薄绿,聚能涡旋,arts,CASTER,4,298,298,298,298,298,298,298,298,298,0
爱丽丝,童话守卫者,arts,CASTER,4,39,39,39,39,39,39,39,39,39,0
爱丽丝,梦乡摇篮,arts,CASTER,4,177,177,177,177,177,177,177,177,177,0
和弦,轻巧舞步,arts,CASTER,4,39,39,39,39,39,39,39,39,39,0
戴菲恩,“贯注”,arts,CASTER,4,78,78,78,78,78,78,78,78,78,0
戴菲恩,“抢攻”,arts,CASTER,4,608,608,608,608,608,608,608,608,608,0
炎狱炎熔,焰淬匕首,arts,CASTER,4,146,146,146,146,146,146,146,146,146,0
炎狱炎熔,狱火之环,arts,CASTER,4,190,190,190,190,190,190,190,190,190,0
蚀清,专注力超载,arts,CASTER,4,285,285,285,285,285,285,285,285,285,0
蚀清,传导蚀滞弹,arts,CASTER,4,291,291,291,291,291,291,291,291,291,0
阿罗玛,强效清洁,arts,CASTER,4,189,189,189,189,189,189,189,189,189,0
阿罗玛,小心地滑,arts,CASTER,4,292,292,292,292,292,292,292,292,292,0
耶拉,攻击力强化·γ型,arts,CASTER,4,369,369,369,369,369,369,369,369,369,0
耶拉,心随意动,arts,CASTER,4,236,236,236,236,236,236,236,236,236,0
洛洛,自负此轭,arts,CASTER,4,506,506,506,506,506,506,506,506,506,0
至简,迅捷打击·γ型,arts,CASTER,4,321,321,321,321,321,321,321,321,321,0
至简,神工意匠,arts,CASTER,4,624,624,624,624,624,624,624,624,624,0
时隙,攻击力强化·γ型,arts,CASTER,4,388,388,388,388,388,388,388,388,388,0
时隙,科技与传统仪式,arts,CASTER,4,518,518,518,518,518,518,518,518,518,0
折光,镭射穿凿,arts,CASTER,4,664,664,664,664,664,664,664,664,664,0
温米,滔滔热流,arts,CASTER,4,445,445,445,445,445,445,445,445,445,0
Miss.Christine,自由用餐礼仪,arts,CASTER,4,381,381,381,381,381,381,381,381,381,0
Miss.Christine,狂饮之宴,arts,CASTER,4,324,324,324,324,324,324,324,324,324,0
特克诺,关节锁定,arts,CASTER,4,310,310,310,310,310,310,310,310,310,0
梅尔,爆破回收,arts,SUPPORT,4,83,83,83,83,83,83,83,83,83,0
稀音,保护色隐蔽,arts,SUPPORT,4,10,10,10,10,10,10,10,10,10,0
稀音,全景过载摄像,arts,SUPPORT,4,25,25,25,25,25,25,25,25,25,0
衡沙,权知轻重,arts,SUPPORT,4,15,15,15,15,15,15,15,15,15,0
亚叶,复合型药物弹片,arts,MEDIC,4,186,186,186,186,186,186,186,186,186,0
濯尘芙蓉,抚业之触,arts,MEDIC,4,260,260,260,260,260,260,260,260,260,0
刺玫,荆藤庇荫,arts,MEDIC,4,133,133,133,133,133,133,133,133,133,0
临光,急救模式,physical,TANK,4,324,276,228,116,16,16,16,16,324,0
吽,反制医疗模式,physical,TANK,4,318,258,198,58,16,16,16,16,318,0
深律,沉音宁神,physical,TANK,4,358,304,250,125,18,18,18,18,358,0
森西,单人份料理,physical,TANK,4,204,154,104,10,10,10,10,10,204,0
红,处决模式,physical,SPECIAL,4,747,655,564,350,75,37,37,37,747,0
卡夫卡,怪异魔方,arts,SPECIAL,4,146,146,146,146,146,146,146,146,146,0
卡夫卡,诡异剪刀,arts,SPECIAL,4,130,130,130,130,130,130,130,130,130,0
乌有,阴晴圆缺,physical,SPECIAL,4,266,236,206,136,46,13,13,13,266,0
裁度,量衣尺,physical,SPECIAL,4,334,297,259,172,59,17,17,17,334,0
裁度,缝线缠身,physical,SPECIAL,4,122,108,94,63,22,6,6,6,122,0
雷蛇,反击电弧,arts,TANK,4,626,626,626,626,626,626,626,626,626,0
深巡,侵袭破坏应对,physical,TANK,4,447,363,280,86,22,22,22,22,447,0
深巡,行动能力剥夺,physical,TANK,4,658,535,412,126,33,33,33,33,658,0
火神,武力模式,physical,TANK,4,816,759,703,572,403,66,41,41,816,0
折桠,生存决心,physical,TANK,4,695,647,599,486,342,52,35,35,695,0
石棉,固守模式,physical,TANK,4,151,106,61,8,8,8,8,8,151,0
石棉,火电模式,physical,TANK,4,487,434,380,255,94,24,24,24,487,0
暮落,燃命狂欢,physical,TANK,4,3528,2808,2088,408,176,176,176,176,3528,0
车尔尼,纷飞十指,physical,TANK,4,503,440,377,230,41,25,25,25,503,0
车尔尼,曲惊四座,arts,TANK,4,519,519,519,519,519,519,519,519,519,0
闪击,突破防线,physical,TANK,4,838,722,606,335,42,42,42,42,838,0
灰毫,攻击力强化·γ型,physical,TANK,4,482,448,415,337,237,37,24,24,482,0
灰毫,专注轰击,physical,TANK,4,373,340,307,229,129,19,19,19,373,0
火哨,野火,mixed,TANK,4,270,251,233,189,133,20,14,14,270,0
火哨,焦土,arts,TANK,4,491,491,491,491,491,491,491,491,491,0
极光,人工降雪,physical,TANK,4,863,842,820,770,706,577,292,43,863,0
洋灰,突破矿层,physical,TANK,4,684,650,617,539,439,239,34,34,684,0
菲莱,冥河诅咒,arts,TANK,4,40,40,40,40,40,40,40,40,40,0
普罗旺斯,杀戮嗅觉,physical,SNIPER,4,957,909,860,747,602,311,48,48,957,0
玫拉,饱和脉冲,physical,SNIPER,4,715,675,635,541,421,181,36,36,715,0
玫拉,临界爆发,physical,SNIPER,4,532,515,498,459,409,309,87,27,532,0
守林人,环境伪装,physical,SNIPER,4,552,513,475,385,269,37,28,28,552,0
守林人,战术电台,physical,SNIPER,4,189,182,174,157,134,89,9,9,189,0
安哲拉,攻击力强化·γ型,physical,SNIPER,4,694,651,607,506,376,116,35,35,694,0
安哲拉,阻滞射击战术,physical,SNIPER,4,1180,1136,1093,992,862,602,59,59,1180,0
子月,狩猎时刻,physical,SNIPER,4,489,457,425,350,254,61,24,24,489,0
熔泉,信号矢,physical,SNIPER,4,540,500,460,366,246,27,27,27,540,0
熔泉,便携破城矢,physical,SNIPER,4,642,607,571,488,380,166,32,32,642,0
埃拉托,安眠旋律,physical,SNIPER,4,293,276,259,220,170,70,15,15,293,0
埃拉托,英雄赞歌,physical,SNIPER,4,658,598,538,398,218,33,33,33,658,0
矩,良翼难乘,physical,SNIPER,4,603,563,523,429,309,69,30,30,603,0
承曦格雷伊,迅捷打击·γ型,physical,SNIPER,4,461,395,330,177,23,23,23,23,461,0
承曦格雷伊,晨曦信标,arts,SNIPER,4,30,30,30,30,30,30,30,30,30,0
冰酿,攻击力强化·γ型,physical,SNIPER,4,910,850,790,650,470,110,46,46,910,0
冰酿,酣醉之夜,physical,SNIPER,4,1241,1173,1105,946,741,332,62,62,1241,0
水灯心,可驯服的,physical,SNIPER,4,1246,1096,946,596,146,62,62,62,1246,0
空构,临场铳械改装,physical,SPECIAL,4,680,575,470,225,34,34,34,34,680,0
崖心,锁链勾爪,arts,SPECIAL,4,378,378,378,378,378,378,378,378,378,0
崖心,束缚链,physical,SPECIAL,4,420,390,360,290,200,21,21,21,420,0
雪雉,倒刺钩爪,physical,SPECIAL,4,253,223,193,123,33,13,13,13,253,0
雪雉,伸缩式电捕网,arts,SPECIAL,4,170,170,170,170,170,170,170,170,170,0
杏仁,磁力抓取,physical,SPECIAL,4,443,387,331,199,31,22,22,22,443,0
杏仁,强力牵引,physical,SPECIAL,4,89,79,68,43,11,4,4,4,89,0
巫恋,病入膏肓,arts,SUPPORT,4,9,9,9,9,9,9,9,9,9,0
海霓,阻滞性显色剂,arts,SUPPORT,4,291,291,291,291,291,291,291,291,291,0
真理,文学风暴,arts,SUPPORT,4,290,290,290,290,290,290,290,290,290,0
格劳克斯,双线装填,arts,SUPPORT,4,228,228,228,228,228,228,228,228,228,0
但书,纠纷起诉,arts,SUPPORT,4,323,323,323,323,323,323,323,323,323,0
但书,致胜立论,arts,SUPPORT,4,1225,1225,1225,1225,1225,1225,1225,1225,1225,0
小满,竹笛飞声,arts,SUPPORT,4,212,212,212,212,212,212,212,212,212,0
掠风,此身为筑,physical,SUPPORT,4,326,302,276,218,143,16,16,16,326,0
掠风,此身为源,arts,SUPPORT,4,380,380,380,380,380,380,380,380,380,0
阿兰娜,“万斤顶”,arts,SUPPORT,4,598,598,598,598,598,598,598,598,598,0
空,战斗之歌,arts,SUPPORT,4,324,324,324,324,324,324,324,324,324,0
海蒂,虚构故事·怒士,arts,SUPPORT,4,289,289,289,289,289,289,289,289,289,0
三角初华,我悲悯的,arts,SUPPORT,4,131,131,131,131,131,131,131,131,131,0
九色鹿,人间降吉,arts,SUPPORT,4,236,236,236,236,236,236,236,236,236,0
夏栎,大地的慈悲,arts,SUPPORT,4,14,14,14,14,14,14,14,14,14,0
凛视,我见崩毁之前,arts,SUPPORT,4,84,84,84,84,84,84,84,84,84,0
波卜,非和平劝说,arts,SUPPORT,4,83,83,83,83,83,83,83,83,83,0
波卜,“此路不通”,arts,SUPPORT,4,197,197,197,197,197,197,197,197,197,0
伯塔尼,谐波破坏,arts,SUPPORT,4,94,94,94,94,94,94,94,94,94,0
佩德洛,交替撤离,arts,SUPPORT,4,408,408,408,408,408,408,408,408,408,0
狮蝎,蓄力毒尾击,physical,SPECIAL,4,407,386,365,316,253,127,20,20,407,0
绮良,锚点捕捉,arts,SPECIAL,4,49,49,49,49,49,49,49,49,49,0
八幡海铃,颤栗之弦,arts,SPECIAL,4,0,0,0,0,0,0,0,0,0,0
八幡海铃,无存之所,arts,SPECIAL,4,97,97,97,97,97,97,97,97,97,0
食铁兽,崩拳式,physical,SPECIAL,4,90,82,75,58,35,4,4,4,90,0
罗宾,束缚“夹子”,physical,SPECIAL,4,173,161,148,119,82,9,9,9,173,0
罗宾,弹射“夹子”,physical,SPECIAL,4,188,176,163,134,96,21,9,9,188,0
霜华,陷阱部署,physical,SPECIAL,4,180,167,155,126,88,13,9,9,180,0
霜华,击倒猎物,physical,SPECIAL,4,92,80,67,38,5,5,5,5,92,0
钼铅,“驱兽专用”,physical,SPECIAL,4,76,69,61,44,21,4,4,4,76,0
钼铅,“顽石专用”,physical,SPECIAL,4,61,55,49,35,17,3,3,3,61,0
贝娜,奋力修剪,physical,SPECIAL,4,850,798,746,625,469,157,43,43,850,0
贝娜,快速修剪,physical,SPECIAL,4,1723,1552,1382,984,471,86,86,86,1723,0
风丸,纸艺·双影,physical,SPECIAL,4,74,68,62,48,30,4,4,4,74,0
若叶睦,破坏与滋养,arts,SPECIAL,4,419,419,419,419,419,419,419,419,419,0
锡人,“大拉里”,arts,SPECIAL,4,94,94,94,94,94,94,94,94,94,0
蒂比,专业喷绘技巧,physical,SPECIAL,4,816,738,660,478,244,41,41,41,816,0
蒂比,紧急赶场通知,arts,SPECIAL,4,471,471,471,471,471,471,471,471,471,0
响石,震撼型指路,arts,TANK,4,48,48,48,48,48,48,48,48,48,0
格拉尼,永不后退！,physical,PIONEER,4,596,506,416,206,30,30,30,30,596,0
夜烟,攻击力强化·β型,arts,CASTER,3,295,295,295,295,295,295,295,295,295,0
夜烟,赤色之瞳,arts,CASTER,3,437,437,437,437,437,437,437,437,437,0
远山,命运,arts,CASTER,3,293,293,293,293,293,293,293,293,293,0
协律,反拍重音,arts,CASTER,3,190,190,190,190,190,190,190,190,190,0
协律,震爆调谐,arts,CASTER,3,70,70,70,70,70,70,70,70,70,0
卡达,攻击力强化·β型,arts,CASTER,3,253,253,253,253,253,253,253,253,253,0
卡达,同步索敌攻击,arts,CASTER,3,267,267,267,267,267,267,267,267,267,0
深靛,灯塔守卫者,arts,CASTER,3,37,37,37,37,37,37,37,37,37,0
布丁,扩散电流,arts,CASTER,3,307,307,307,307,307,307,307,307,307,0
杰西卡,掩护烟幕,physical,SNIPER,3,749,646,543,301,37,37,37,37,749,0
流星,碎甲击,physical,SNIPER,3,1008,858,708,358,50,50,50,50,1008,0
流星,碎甲击·扩散,physical,SNIPER,3,224,194,164,94,11,11,11,11,224,0
红云,攻击力强化·β型,physical,SNIPER,3,523,448,373,198,26,26,26,26,523,0
红云,双弦开弓,physical,SNIPER,3,562,462,362,128,28,28,28,28,562,0
梅,束缚电击,physical,SNIPER,3,618,552,486,332,134,31,31,31,618,0
预备干员-狙击,攻击力强化·β型,physical,SNIPER,3,502,427,352,177,25,25,25,25,502,0
预备干员-狙击,攻击力强化·γ型,physical,SNIPER,3,743,643,543,310,37,37,37,37,743,0
白雪,凝武,arts,SNIPER,3,124,124,124,124,124,124,124,124,124,0
松果,RMA长钉,physical,SNIPER,3,169,169,164,125,75,8,8,8,169,0
安比尔,雷达定位,physical,SNIPER,3,453,423,393,323,233,53,23,23,453,0
酸糖,扳机时刻,physical,SNIPER,3,456,396,336,196,23,23,23,23,456,0
铅踝,破虹,physical,SNIPER,3,1172,1112,1052,912,732,372,59,59,1172,0
跃跃,乐趣加倍,physical,SNIPER,3,1112,962,812,462,56,56,56,56,1112,0
清道夫,冲锋号令·攻击,physical,PIONEER,3,41,36,30,17,2,2,2,2,41,0
红豆,攻击力强化·β型,physical,PIONEER,3,616,541,466,291,66,31,31,31,616,0
红豆,槌音,physical,PIONEER,3,912,845,779,623,423,46,46,46,912,0
杜宾,鞭策,physical,WARRIOR,3,690,614,538,360,130,35,35,35,690,0
缠丸,恶鬼之力,physical,WARRIOR,3,809,759,709,592,442,142,40,40,809,0
断罪者,断罪,physical,WARRIOR,3,516,478,440,353,240,26,26,26,516,0
预备干员-近卫,攻击力强化·β型,physical,WARRIOR,3,541,493,445,333,189,27,27,27,541,0
预备干员-近卫,攻击力强化·γ型,physical,WARRIOR,3,835,769,702,546,346,42,42,42,835,0
霜叶,寒霜枪刃,physical,WARRIOR,3,178,152,128,69,9,9,9,9,178,0
艾丝黛尔,攻击力强化·β型,physical,WARRIOR,3,534,474,414,274,94,27,27,27,534,0
艾丝黛尔,舍身突击,physical,WARRIOR,3,1484,1364,1244,964,604,74,74,74,1484,0
慕斯,炸毛,physical,WARRIOR,3,533,469,405,256,64,27,27,27,533,0
宴,落地斩·破门,physical,WARRIOR,3,24,22,20,15,9,1,1,1,24,0
芳汀,小玩笑,physical,WARRIOR,3,533,461,389,221,27,27,27,27,533,0
芳汀,致命恶作剧,arts,WARRIOR,3,460,460,460,460,460,460,460,460,460,0
罗小黑,碎金为刃,physical,WARRIOR,3,490,490,452,321,152,24,24,24,490,0
石英,攻击力强化·β型,physical,WARRIOR,3,627,597,567,497,407,227,31,31,627,0
石英,全力相搏,physical,WARRIOR,3,762,709,657,534,377,62,38,38,762,0
骋风,招无虚发,physical,WARRIOR,3,274,214,154,14,14,14,14,14,274,0
预备干员-特种,一击即退·β型,physical,SPECIAL,3,39,30,22,3,2,2,2,2,39,0
预备干员-特种,一击即退·γ型,physical,SPECIAL,3,46,38,30,10,2,2,2,2,46,0
孑,断螯,physical,SPECIAL,3,325,287,250,162,50,16,16,16,325,0
孑,刺身拼盘,physical,SPECIAL,3,153,134,115,72,15,8,8,8,153,0
暗索,勾爪发射,physical,SPECIAL,3,288,258,228,158,68,14,14,14,288,0
暗索,复式勾爪,physical,SPECIAL,3,342,312,282,212,122,17,17,17,342,0
泡泡,“挨打”,physical,TANK,3,3,0,0,0,0,0,0,0,3,0
古米,食粮烹制,physical,TANK,3,265,220,175,70,13,13,13,13,265,0
坚雷,攻击力强化·β型,physical,TANK,3,416,371,326,221,86,21,21,21,416,0
坚雷,起盾回击,physical,TANK,3,832,742,652,442,172,42,42,42,832,0
深海色,光影之触,arts,SUPPORT,3,168,168,168,168,168,168,168,168,168,0
地灵,攻击力强化·β型,arts,SUPPORT,3,198,198,198,198,198,198,198,198,198,0
波登可,花香疗法,arts,SUPPORT,3,264,264,264,264,264,264,264,264,264,0
波登可,孢子扩散,arts,SUPPORT,3,31,31,31,31,31,31,31,31,31,0
罗比菈塔,叙拉古式上妆,arts,SUPPORT,3,350,350,350,350,350,350,350,350,350,0
伊桑,十字悬挂,physical,SPECIAL,3,198,176,155,104,38,10,10,10,198,0
阿消,水蒸气泵,physical,SPECIAL,3,194,164,134,64,10,10,10,10,194,0
阿消,高压水炮,physical,SPECIAL,3,114,106,97,76,50,6,6,6,114,0
云迹,紧急升空,physical,SPECIAL,3,19,17,14,9,3,1,1,1,19,0
云迹,掠空飞翎,physical,SPECIAL,3,691,616,541,366,141,35,35,35,691,0
杰克,全神贯注！,physical,WARRIOR,3,420,357,293,144,21,21,21,21,420,0
